# GCAM LULUCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,
"Reference,date=2025-20-3T03:20:47-04:00",Africa_Eastern,20.70168182,21.26113998,21.88366232,22.51170878,23.11261208,23.66956146,24.17531629,24.62788109,25.02879853,25.38141185,25.68958399,109.9163667,110.4649786,109.8743543,108.6932465,107.255644,105.7604111,104.3200531,102.9934492,101.8070145,100.7667828,99.86832713,99.10018861,98.44924942,97.9012958,97.4419945,82.94971923,87.17590361,91.2236016,94.90988908,98.15996943,112.0435837,117.9113412,123.367464,128.335295,132.7986725,56.68709614,43.77822498,32.31750149,22.26686184,13.50869936,5.895828274,69.59006431,77.15979618,83.89437335,89.78388066,121.4397972,127.1523805,131.6282724,135.142623,137.9080555,-17.40506396,-22.13859445,-24.52593401,-25.35961464,-25.17248125,-24.33075696,-23.08764234,-21.61808095,-20.04196247,-18.44057014,-16.86774154,-15.35789231,-13.9318836,-12.6011321,-11.37043353,-10.24020083,-9.207925758,-8.269173604,-7.418452694,-6.649662491,-5.956485936,-5.33262543,-4.772006475,-4.268833233,-3.81765916,-3.413460056,-3.051563621,-2.727716664,-2.438060268,-2.179048502,-1.947512893,-1.740577655,-1.555657929,-1.390425782,-1.242798116,-1.110903932,-0.993069218,-0.887795082,-0.793737916,-0.709701607,-0.63461497,-0.567521771,-0.507564443,-0.453982689,-0.40609383,-0.363289305,-0.325028383,-0.290823113,-0.26024192,-0.232898764,-0.208449083,-0.186583495,-0.167027933,-0.149536736,-0.133890351,-0.119892997,-0.107369969,-0.09616479,-0.086137835,-0.077164631,-0.069133554,-0.061945082,-0.055510249,-0.049749524,-0.044591778,-0.039973523,-0.03583802,-0.032134264,-0.028817055,-0.025845671,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Africa_Northern,-8.734884556,-8.100378391,-7.592696302,-7.194702006,-6.886837743,-6.651273584,-6.472251022,-6.336860587,-6.235086355,-6.158820316,-6.101828287,-9.796724414,-6.52001107,-3.707746006,-1.432572672,0.340528244,1.686964694,2.689840906,3.425388779,3.957774596,4.338500437,4.607451924,4.794984398,4.92362067,5.010381562,5.067158448,3.721758912,4.1130208,4.555947705,4.973330211,5.335970032,12.29671631,13.19139213,13.9029519,14.46441857,14.90561505,4.24528562,3.250091786,2.420537711,1.748711148,1.214582783,0.795174144,2.451817625,2.893724182,3.338827662,3.735716515,3.096640487,3.319593591,3.495272612,3.631441492,3.735771361,-0.378549319,-0.408478426,-0.375767681,-0.321767714,-0.265583838,-0.215126751,-0.172891782,-0.138899262,-0.112160121,-0.091410442,-0.075417555,-0.063112829,-0.053626746,-0.046271735,-0.040517254,-0.035961193,-0.03230165,-0.029313819,-0.026831145,-0.024730569,-0.022921825,-0.0213382,-0.019931079,-0.018664421,-0.017511656,-0.016453088,-0.015474147,-0.014563671,-0.01371326,-0.012916402,-0.012167933,-0.01146372,-0.010800357,-0.010174949,-0.009585063,-0.00902849,-0.00850331,-0.008007713,-0.007540092,-0.007098918,-0.006682764,-0.006290278,-0.005920202,-0.005571319,-0.005242475,-0.004932598,-0.004640644,-0.004365631,-0.004106614,-0.003862706,-0.003633067,-0.003416895,-0.003213421,-0.003021927,-0.00284172,-0.002672165,-0.002512646,-0.002362582,-0.002221421,-0.002088644,-0.001963769,-0.001846325,-0.001735882,-0.001632024,-0.001534365,-0.00144254,-0.00135621,-0.001275033,-0.001198714,-0.001126964,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Africa_Southern,7.527331143,9.380704876,11.24798701,13.07475496,14.82654741,16.48237882,18.03080429,19.46651925,20.78874851,21.9996389,23.10363802,29.78788883,30.5076022,30.96212303,31.25753338,31.45403632,31.58671706,31.67647917,31.73658,31.77535279,31.79856851,31.81051842,31.81381678,31.81089639,31.80357131,31.7930046,133.6949092,137.6335376,140.0776108,141.4581417,142.0870321,157.8506557,160.180262,162.0574976,163.5602368,164.7607436,29.22952733,22.53491935,17.71325758,14.3810963,12.19686889,10.87553769,90.78696193,93.76742131,95.9925332,97.53694212,119.7673678,121.1012395,121.706435,121.7835292,121.4896528,-3.362518021,-8.25059888,-11.35617442,-13.17935104,-14.08544413,-14.34399512,-14.1542231,-13.66316947,-12.9787194,-12.17950342,-11.3221712,-10.44691233,-9.581710518,-8.745434572,-7.950277301,-7.203491365,-6.508866547,-5.86764465,-5.279318139,-4.742181973,-4.253783699,-3.811195405,-3.411240235,-3.050661882,-2.726224781,-2.434795804,-2.173388791,-1.939191317,-1.729583801,-1.542147268,-1.374663003,-1.225099391,-1.091611403,-0.972522515,-0.866323397,-0.771647733,-0.68726789,-0.612083068,-0.545101925,-0.485439572,-0.432301416,-0.384981386,-0.342843677,-0.305323618,-0.271916404,-0.242172136,-0.215689345,-0.192110869,-0.171117617,-0.152426317,-0.135783673,-0.120965046,-0.107770003,-0.096020121,-0.08555681,-0.076238576,-0.067939703,-0.060548543,-0.05396503,-0.048100831,-0.042876938,-0.03822323,-0.034077127,-0.030383061,-0.027091497,-0.024158395,-0.021544539,-0.019215011,-0.017138745,-0.015288071,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Africa_Western,26.94108599,28.91181276,30.9904813,33.07791246,35.11053749,37.04870165,38.86938431,40.5603869,42.1177258,43.54228073,44.83801598,108.4761697,110.4013598,111.2133056,111.3765508,111.1664194,110.7474993,110.2199545,109.6451159,109.0604421,108.4891926,107.9447132,107.4351051,106.9635853,106.5316377,106.1388657,179.4517547,183.2880961,185.3556504,186.2589565,186.3954417,190.5761847,191.0476408,191.776087,192.7000601,193.7531281,111.6921369,104.2188428,98.32531228,93.78388131,90.34040729,87.75904508,172.5528476,178.5023114,184.0326911,188.8103529,208.8158439,212.8534527,215.8680362,218.0731375,219.6573261,2.385187602,-3.998526587,-7.946176221,-10.28174018,-11.52447311,-12.02234037,-12.01658079,-11.67726611,-11.12539027,-10.44675122,-9.701938769,-8.933350761,-8.169952695,-7.431141733,-6.729212909,-6.071476782,-5.461615776,-4.900808121,-4.388482728,-3.922939433,-3.501735376,-3.121993232,-2.780642587,-2.474555463,-2.20064251,-1.955944153,-1.737650805,-1.543148895,-1.370017467,-1.216031715,-1.079172594,-0.95760379,-0.849665691,-0.753866226,-0.668864871,-0.593463278,-0.526587437,-0.467283093,-0.414694841,-0.368066284,-0.326721459,-0.290061838,-0.257554875,-0.228728215,-0.203163366,-0.180489071,-0.160376107,-0.142533069,-0.126701597,-0.112652836,-0.100184087,-0.089115849,-0.079289061,-0.070562902,-0.062812675,-0.055927898,-0.049810722,-0.044374466,-0.039542337,-0.035246172,-0.031425855,-0.028027794,-0.025004662,-0.022314475,-0.019919976,-0.017788146,-0.015889705,-0.014198665,-0.01269197,-0.011349204,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Argentina,-6.80958593,-12.05212883,-16.58994886,-20.49868679,-23.85541522,-26.73327683,-29.1985039,-31.30980973,-33.11820599,-34.66778411,-35.99640586,1.881167919,5.326922786,8.252716013,10.7707447,12.94918182,14.83521422,16.46739451,17.87720665,19.09368208,20.14242108,21.04501558,21.82156359,22.49017669,23.06450488,23.55922421,27.26324449,33.94234823,40.16905192,45.68700981,50.44639964,44.12272852,48.59387167,52.74031056,56.40557082,59.56100705,32.80306696,32.40602492,32.07633432,31.75304103,31.41662143,31.06687481,24.66558229,23.50063114,22.42569833,21.45457471,22.3827521,21.79285442,21.25834562,20.78162991,20.36058241,8.039871783,6.981767174,6.114384093,5.375353764,4.731424203,4.163812264,3.660907252,3.214670171,2.818900472,2.46838302,2.158506537,1.885079683,1.644280752,1.432590737,1.246795209,1.083971562,0.941473626,0.816917556,0.708170652,0.613319622,0.530675583,0.458731009,0.396144552,0.341754802,0.294519608,0.253528366,0.217985192,0.187186514,0.160521139,0.137451659,0.117508209,0.10028171,0.085415827,0.072597138,0.061554865,0.052052452,0.04388466,0.03687187,0.030858487,0.025709137,0.021306488,0.017548538,0.014346945,0.011624566,0.009315125,0.007360897,0.005712075,0.00432544,0.003163615,0.002194259,0.001389555,7.25E-04,1.81E-04,-2.62E-04,-6.18E-04,-9.00E-04,-0.001121357,-0.001290349,-0.001415684,-0.001504571,-0.001563159,-0.00159669,-0.001609624,-0.001605804,-0.001588441,-0.001560259,-0.001523601,-0.0014804,-0.001432288,-0.001380639,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Australia_NZ,0.191786284,-0.100879607,-0.164342143,-0.08890437,0.065337266,0.259147349,0.467644509,0.674948985,0.872143038,1.054035834,1.21824099,38.02938787,36.49112659,34.55785313,32.52356257,30.54951909,28.71778034,27.06297221,25.59367715,24.30308094,23.17754807,22.2000567,21.35340106,20.62060119,19.98676644,19.43824176,44.13219822,34.01481525,23.64421184,13.37255382,3.447920786,-12.35525633,-4.19904631,5.002811878,14.52886041,23.92758493,-18.65817532,-17.37731409,-16.55688459,-16.07002882,-15.82127814,-15.73944081,-12.96785705,-9.032669279,-5.164085758,-1.489022656,-0.865412615,2.238046047,5.044284042,7.558437411,9.794595424,-20.35050171,-19.25971526,-18.00599679,-16.68777089,-15.36854895,-14.08854592,-12.87205364,-11.73268626,-10.67679525,-9.705766815,-8.817955841,-8.009737713,-7.276313626,-6.612296467,-6.012102145,-5.470186603,-4.981228462,-4.540134473,-4.142251881,-3.783213605,-3.459098839,-3.166297119,-2.90159122,-2.662056542,-2.445086169,-2.248333621,-2.069718451,-1.907369309,-1.759623875,-1.625003883,-1.50218644,-1.389990461,-1.287373086,-1.19339831,-1.107229738,-1.028119334,-0.955407573,-0.888497766,-0.826856816,-0.77000511,-0.717516739,-0.669008206,-0.624132068,-0.582578024,-0.54406436,-0.50833755,-0.475169363,-0.444351514,-0.415697054,-0.389034046,-0.364207504,-0.341077416,-0.319513011,-0.299398217,-0.28062454,-0.263094489,-0.246716914,-0.231410463,-0.217097169,-0.203709172,-0.191180636,-0.179453106,-0.168471223,-0.15818462,-0.148546428,-0.139513266,-0.13104528,-0.123104933,-0.115657822,-0.108671732,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Brazil,219.5294631,220.3260246,221.2599044,222.2666485,223.3005364,224.3264112,225.3215056,226.2709848,227.164688,227.9975906,228.7676216,148.840653,148.7399186,149.6933157,151.2472911,153.1152118,155.114694,157.1314098,159.0937249,160.958702,162.7028936,164.3141629,165.7897327,167.1310947,168.3444926,169.4368702,170.484996,173.0453921,175.8089318,178.6131762,181.3511794,311.3823127,319.7384195,325.7750667,330.0626038,333.0423685,128.4291251,119.223863,112.908375,108.6955258,106.0024912,104.3978364,202.733946,204.1323353,204.6765472,204.672846,157.4789512,155.491573,153.9086861,152.6304998,151.5871977,-1.271676332,-6.14474477,-9.157225092,-10.87360341,-11.69124306,-11.89321553,-11.6825128,-11.20442615,-10.56274484,-9.830882739,-9.060209289,-8.285981818,-7.531718499,-6.812575821,-6.137559985,-5.511438344,-4.935948233,-4.410802825,-3.934349245,-3.504068248,-3.116960349,-2.769770225,-2.459175073,-2.181904612,-1.934813401,-1.714932615,-1.519502425,-1.345974945,-1.192017482,-1.055515718,-0.93455311,-0.827408712,-0.732535943,-0.648548441,-0.574215583,-0.508433867,-0.450225222,-0.39872114,-0.35314871,-0.31282487,-0.27714292,-0.24556657,-0.217620809,-0.192885887,-0.170990212,-0.151604959,-0.134440343,-0.119239478,-0.105775908,-0.093848682,-0.083281104,-0.07391635,-0.065616221,-0.058258316,-0.051734421,-0.045949072,-0.040817734,-0.036265597,-0.032226758,-0.028642394,-0.025460992,-0.022636677,-0.020128916,-0.01790186,-0.015923729,-0.014166409,-0.012604982,-0.011217359,-0.009984002,-0.008887575,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Canada,51.15655262,51.67472068,52.23095127,52.81524331,53.41854517,54.03372902,54.65435541,55.274981,55.891489,56.49991785,57.09799913,60.87035475,61.51188299,62.11050253,62.67657833,63.21470079,63.72684199,64.21363847,64.67579001,65.11406619,65.52878332,65.92070873,66.29044106,66.63890509,66.96701456,67.27555724,6.41868601,-16.10053205,-37.97735937,-58.98190946,-79.02529837,-48.92846189,-45.24841983,-41.25416226,-37.17035019,-33.1104327,-65.95431416,-65.8629551,-65.61092698,-65.25807356,-64.83536018,-64.35981543,-2.198117058,5.297927894,12.37366406,19.05609854,6.802435869,10.91904431,14.84833819,18.58544973,22.13276514,-18.71267588,-18.54097501,-18.26741518,-17.93521304,-17.56244831,-17.15784869,-16.72612239,-16.27145778,-15.79771803,-15.3087567,-14.80832859,-14.30013994,-13.78766508,-13.27406348,-12.76213567,-12.25445798,-11.7531323,-11.26005935,-10.77674985,-10.30457152,-9.844479546,-9.397315907,-8.963721042,-8.544114117,-8.138830958,-7.74806105,-7.371844205,-7.010133287,-6.662849612,-6.329817709,-6.010770468,-5.705452227,-5.413560861,-5.134726993,-4.868566144,-4.614721079,-4.372771707,-4.142310672,-3.922933354,-3.714219918,-3.515753307,-3.327126805,-3.147933929,-2.977775308,-2.816264671,-2.663020873,-2.517670853,-2.379854911,-2.249225622,-2.125443355,-2.008187233,-1.897141331,-1.791999856,-1.692475422,-1.598289149,-1.50917698,-1.424879347,-1.34515195,-1.269763486,-1.198484085,-1.131108547,-1.067430124,-1.007253134,-0.950396092,-0.89668118,-0.845942872,-0.798020613,-0.752764636,-0.710031064,-0.669682654,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Central America and Caribbean,22.76211799,22.59334626,22.48974794,22.43148142,22.40420115,22.39763804,22.40459286,22.41974998,22.43979936,22.46194963,22.48486667,15.54360593,14.70470205,14.15892727,13.80516378,13.57775488,13.43333433,13.34340736,13.28925496,13.25830334,13.24233834,13.23592084,13.2354064,13.23837251,13.24326325,13.24917007,14.96841429,14.95286422,14.71514498,14.37339675,13.99588355,16.25432774,15.87830978,15.52714061,15.20063818,14.89688251,-0.44408838,-2.225391405,-3.550956593,-4.541254777,-5.28362542,-5.841813224,10.97416569,13.42746694,15.45691264,17.11792917,14.56509718,15.37628473,16.06895841,16.65036623,17.1337685,0.86107005,-0.047118173,-0.581797341,-0.878076356,-1.022004754,-1.069618901,-1.057732572,-1.010593402,-0.944093015,-0.868547503,-0.790523783,-0.714076741,-0.641589927,-0.574347416,-0.512907135,-0.457371101,-0.407561644,-0.363138607,-0.323673394,-0.288710025,-0.257786714,-0.230461822,-0.206323867,-0.18499625,-0.166139375,-0.149450626,-0.134662041,-0.121537663,-0.10987099,-0.09948143,-0.090212181,-0.081926483,-0.074505454,-0.067846066,-0.06185858,-0.056465064,-0.051597884,-0.047197749,-0.043213254,-0.039599317,-0.036316615,-0.033330328,-0.030610257,-0.028129338,-0.025864233,-0.023793713,-0.021899227,-0.02016427,-0.018574028,-0.01711531,-0.015776292,-0.014546358,-0.013415918,-0.012376395,-0.01142,-0.01053968,-0.009729057,-0.008982335,-0.008294219,-0.007659957,-0.007075139,-0.006535779,-0.006038215,-0.005579123,-0.005155452,-0.00476439,-0.004403366,-0.004070018,-0.003762187,-0.003477896,MtC/yr
"Reference,date=2025-20-3T03:20:47-04:00",Central Asia,34.31744439,32.50678663,30.61890422,28.69049216,26.76176601,24.8666189,23.032483,21.2779571,19.61600984,18.0531106,16.59256118,24.78525395,19.24465423,13.81582646,8.8146678,4.339237164,0.386989214,-3.087922908,-6.144007104,-8.839715117,-11.2276419,-13.35352355,-15.25465885,-16.96275771,-18.50373353,-19.89836847,41.83084768,54.24610539,65.07454184,74.95982633,84.22745198,41.65472595,27.56519393,14.93857728,3.14437314,-8.068386476,-51.35053569,-46.58493016,-41.50072622,-36.79155718,-32.69699409,-29.24513114,-23.24915449,-19.81220633,-16.86977926,-14.32452893,-12.53751765,-10.6349709,-8.938475198,-7.416732593,-6.043263268,-9.394556779,-8.807237185,-8.241365449,-7.718409616,-7.242239604,-6.809821378,-6.415773311,-6.054464312,-5.720878449,-5.410899348,-5.121159182,-4.849082072,-4.592622031,-4.35016207,-4.120487458,-3.902598077,-3.695652722,-3.499043709,-3.312162521,-3.134539234,-2.965736729,-2.805318779,-2.652939942,-2.508267181,-2.370916503,-2.240595353,-2.116980454,-1.999783489,-1.888712101,-1.783480904,-1.683825422,-1.58947522,-1.500184408,-1.415705137,-1.335801877,-1.260246237,-1.188822469,-1.121325633,-1.05754583,-0.99729943,-0.940394568,-0.886660263,-0.83593059,-0.788042357,-0.74284754,-0.700194792,-0.659953698,-0.621986253,-0.586174572,-0.552394347,-0.520537821,-0.490495077,-0.462168416,-0.435460683,-0.410281285,-0.386544827,-0.36417067,-0.343081147,-0.323203807,-0.304470634,-0.286816241,-0.270179732,-0.254503179,-0.2397315,-0.225813104,-0.212699217,-0.200343768,-0.188703428,-0.177736891,-0.167405609,MtC/yr
